 external_ref |                    operation                    | status  | calls | avg_ms | max_ms 
--------------+-------------------------------------------------+---------+-------+--------+--------
 MOCHA        | GET /itembatchbalqtybypage?page=1&pageSize=300  | success |     2 |    367 |    482
 MOCHA        | GET /itembatchbalqtybypage?page=10&pageSize=300 | success |     2 |    129 |    156
 MOCHA        | GET /itembatchbalqtybypage?page=11&pageSize=300 | success |     2 |    128 |    157
 MOCHA        | GET /itembatchbalqtybypage?page=12&pageSize=300 | success |     2 |    123 |    156
 MOCHA        | GET /itembatchbalqtybypage?page=13&pageSize=300 | success |     2 |    126 |    174
 MOCHA        | GET /itembatchbalqtybypage?page=14&pageSize=300 | success |     2 |    121 |    162
 MOCHA        | GET /itembatchbalqtybypage?page=15&pageSize=300 | success |     2 |    116 |    155
 MOCHA        | GET /itembatchbalqtybypage?page=16&pageSize=300 | success |     2 |    123 |    166
 MOCHA        | GET /itembatchbalqtybypage?page=17&pageSize=300 | success |     2 |    119 |    162
 MOCHA        | GET /itembatchbalqtybypage?page=18&pageSize=300 | success |     2 |    122 |    161
 MOCHA        | GET /itembatchbalqtybypage?page=19&pageSize=300 | success |     2 |    142 |    164
 MOCHA        | GET /itembatchbalqtybypage?page=2&pageSize=300  | success |     2 |    242 |    332
 MOCHA        | GET /itembatchbalqtybypage?page=20&pageSize=300 | success |     2 |    131 |    166
 MOCHA        | GET /itembatchbalqtybypage?page=21&pageSize=300 | success |     2 |    137 |    173
 MOCHA        | GET /itembatchbalqtybypage?page=22&pageSize=300 | success |     2 |    131 |    168
 MOCHA        | GET /itembatchbalqtybypage?page=23&pageSize=300 | success |     2 |    133 |    168
 MOCHA        | GET /itembatchbalqtybypage?page=24&pageSize=300 | success |     2 |    135 |    176
 MOCHA        | GET /itembatchbalqtybypage?page=25&pageSize=300 | success |     2 |    139 |    174
 MOCHA        | GET /itembatchbalqtybypage?page=26&pageSize=300 | success |     2 |    134 |    171
 MOCHA        | GET /itembatchbalqtybypage?page=27&pageSize=300 | success |     2 |    135 |    170
 MOCHA        | GET /itembatchbalqtybypage?page=28&pageSize=300 | success |     2 |    127 |    165
 MOCHA        | GET /itembatchbalqtybypage?page=29&pageSize=300 | success |     2 |    139 |    178
 MOCHA        | GET /itembatchbalqtybypage?page=3&pageSize=300  | success |     2 |    131 |    170
 MOCHA        | GET /itembatchbalqtybypage?page=30&pageSize=300 | success |     2 |    138 |    187
 MOCHA        | GET /itembatchbalqtybypage?page=31&pageSize=300 | success |     2 |    141 |    187
 MOCHA        | GET /itembatchbalqtybypage?page=32&pageSize=300 | success |     2 |    134 |    179
 MOCHA        | GET /itembatchbalqtybypage?page=33&pageSize=300 | success |     2 |    136 |    179
 MOCHA        | GET /itembatchbalqtybypage?page=34&pageSize=300 | success |     2 |    136 |    177
 MOCHA        | GET /itembatchbalqtybypage?page=35&pageSize=300 | success |     2 |    139 |    175
 MOCHA        | GET /itembatchbalqtybypage?page=36&pageSize=300 | success |     2 |    126 |    166
 MOCHA        | GET /itembatchbalqtybypage?page=4&pageSize=300  | success |     2 |    119 |    161
 MOCHA        | GET /itembatchbalqtybypage?page=5&pageSize=300  | success |     2 |    125 |    159
 MOCHA        | GET /itembatchbalqtybypage?page=6&pageSize=300  | success |     2 |    121 |    154
 MOCHA        | GET /itembatchbalqtybypage?page=7&pageSize=300  | success |     2 |    123 |    150
 MOCHA        | GET /itembatchbalqtybypage?page=8&pageSize=300  | success |     2 |    124 |    156
 MOCHA        | GET /itembatchbalqtybypage?page=9&pageSize=300  | success |     2 |    122 |    153
 MOCHA        | GET /itembypage?page=1&pageSize=150             | success |     3 |  24304 |  25657
 MOCHA        | GET /itembypage?page=1&pageSize=300             | success |     3 |  64880 |  64989
 MOCHA        | GET /itembypage?page=10&pageSize=150            | success |     3 |   5276 |   5779
 MOCHA        | GET /itembypage?page=10&pageSize=300            | error   |     6 |  90315 |  90656
 MOCHA        | GET /itembypage?page=11&pageSize=150            | success |     3 |  48862 |  48953
 MOCHA        | GET /itembypage?page=12&pageSize=150            | success |     3 |  35144 |  35206
 MOCHA        | GET /itembypage?page=13&pageSize=150            | success |     3 |  20489 |  20578
 MOCHA        | GET /itembypage?page=14&pageSize=150            | success |     3 |  29431 |  29706
 MOCHA        | GET /itembypage?page=15&pageSize=150            | success |     3 |  13964 |  14184
 MOCHA        | GET /itembypage?page=16&pageSize=150            | success |     3 |  21156 |  21344
 MOCHA        | GET /itembypage?page=17&pageSize=150            | success |     3 |  22942 |  23089
 MOCHA        | GET /itembypage?page=18&pageSize=150            | success |     3 |  37200 |  37685
 MOCHA        | GET /itembypage?page=19&pageSize=150            | success |     3 |  68941 |  69252
 MOCHA        | GET /itembypage?page=2&pageSize=150             | success |     3 |  44849 |  45050
 MOCHA        | GET /itembypage?page=2&pageSize=300             | success |     3 |  57346 |  57486
 MOCHA        | GET /itembypage?page=20&pageSize=150            | success |     3 |  38879 |  39150
 MOCHA        | GET /itembypage?page=21&pageSize=150            | success |     3 |  39930 |  40125
 MOCHA        | GET /itembypage?page=22&pageSize=150            | success |     3 |  17408 |  17839
 MOCHA        | GET /itembypage?page=23&pageSize=150            | success |     3 |   6111 |   6321
 MOCHA        | GET /itembypage?page=3&pageSize=150             | success |     3 |  40504 |  40789
 MOCHA        | GET /itembypage?page=3&pageSize=300             | success |     3 |  28784 |  28947
