 external_ref |                    operation                     | status  | calls | avg_ms | max_ms 
--------------+--------------------------------------------------+---------+-------+--------+--------
 AED_SORENTO  | GET /itembatchbalqtybypage?page=1&pageSize=1000  | success |     1 |    235 |    235
 AED_SORENTO  | GET /itembatchbalqtybypage?page=10&pageSize=1000 | success |     1 |    125 |    125
 AED_SORENTO  | GET /itembatchbalqtybypage?page=11&pageSize=1000 | success |     1 |    134 |    134
 AED_SORENTO  | GET /itembatchbalqtybypage?page=12&pageSize=1000 | success |     1 |    135 |    135
 AED_SORENTO  | GET /itembatchbalqtybypage?page=13&pageSize=1000 | success |     1 |    138 |    138
 AED_SORENTO  | GET /itembatchbalqtybypage?page=14&pageSize=1000 | success |     1 |    129 |    129
 AED_SORENTO  | GET /itembatchbalqtybypage?page=15&pageSize=1000 | success |     1 |    150 |    150
 AED_SORENTO  | GET /itembatchbalqtybypage?page=16&pageSize=1000 | success |     1 |    153 |    153
 AED_SORENTO  | GET /itembatchbalqtybypage?page=17&pageSize=1000 | success |     1 |    150 |    150
 AED_SORENTO  | GET /itembatchbalqtybypage?page=18&pageSize=1000 | success |     1 |    179 |    179
 AED_SORENTO  | GET /itembatchbalqtybypage?page=19&pageSize=1000 | success |     1 |    158 |    158
 AED_SORENTO  | GET /itembatchbalqtybypage?page=2&pageSize=1000  | success |     1 |    145 |    145
 AED_SORENTO  | GET /itembatchbalqtybypage?page=20&pageSize=1000 | success |     1 |    153 |    153
 AED_SORENTO  | GET /itembatchbalqtybypage?page=21&pageSize=1000 | success |     1 |    143 |    143
 AED_SORENTO  | GET /itembatchbalqtybypage?page=22&pageSize=1000 | success |     1 |    161 |    161
 AED_SORENTO  | GET /itembatchbalqtybypage?page=23&pageSize=1000 | success |     1 |    155 |    155
 AED_SORENTO  | GET /itembatchbalqtybypage?page=24&pageSize=1000 | success |     1 |    159 |    159
 AED_SORENTO  | GET /itembatchbalqtybypage?page=25&pageSize=1000 | success |     1 |    144 |    144
 AED_SORENTO  | GET /itembatchbalqtybypage?page=26&pageSize=1000 | success |     1 |    140 |    140
 AED_SORENTO  | GET /itembatchbalqtybypage?page=27&pageSize=1000 | success |     1 |    168 |    168
 AED_SORENTO  | GET /itembatchbalqtybypage?page=28&pageSize=1000 | success |     1 |    153 |    153
