                operation                | status  | status_code | latency_ms |                                                response_summary_json                                                |          created_at           
-----------------------------------------+---------+-------------+------------+---------------------------------------------------------------------------------------------------------------------+-------------------------------
 GET /itembypage?page=1&pageSize=1000    | success |         200 |      17652 | {"statusCode": 200, "rowCount": 1000, "envelope": "paged"}                                                          | 2026-09-20 03:45:04.085149+09
 GET /itembypage?page=2&pageSize=1000    | error   |             |      30003 | {"statusCode": null, "rowCount": null, "envelope": null}                                                            | 2026-09-20 03:45:04.089531+09
 GET /itembypage?page=2&pageSize=1000    | success |         200 |      24732 | {"statusCode": 200, "rowCount": 1000, "envelope": "paged"}                                                          | 2026-09-20 03:45:04.090235+09
 GET /itembypage?page=3&pageSize=1000    | error   |             |      30003 | {"statusCode": null, "rowCount": null, "envelope": null}                                                            | 2026-09-20 03:45:04.090746+09
 GET /itembypage?page=3&pageSize=1000    | error   |             |      30241 | {"statusCode": null, "rowCount": null, "envelope": null}                                                            | 2026-09-20 03:45:04.091243+09
 NOTE https://hapi.sorento.cc.cd/api/db1 | error   |             |          0 | {"message": "'/itembypage' timed out twice at the previous page size - halving to 500 and restarting from page 1."} | 2026-09-20 03:45:04.091729+09
 GET /itembypage?page=1&pageSize=500     | success |         200 |      12290 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.092225+09
 GET /itembypage?page=2&pageSize=500     | success |         200 |      14791 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.092705+09
 GET /itembypage?page=3&pageSize=500     | success |         200 |      15502 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.0932+09
 GET /itembypage?page=4&pageSize=500     | success |         200 |      17982 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.093723+09
 GET /itembypage?page=5&pageSize=500     | success |         200 |       8149 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.094243+09
 GET /itembypage?page=6&pageSize=500     | success |         200 |      15452 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.094773+09
 GET /itembypage?page=7&pageSize=500     | success |         200 |      15706 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.095393+09
 GET /itembypage?page=8&pageSize=500     | success |         200 |      15938 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.095877+09
 GET /itembypage?page=9&pageSize=500     | success |         200 |       4980 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.096357+09
 GET /itembypage?page=10&pageSize=500    | success |         200 |       9831 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.096937+09
 GET /itembypage?page=11&pageSize=500    | success |         200 |        335 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.097523+09
 GET /itembypage?page=12&pageSize=500    | success |         200 |        995 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.098049+09
 GET /itembypage?page=13&pageSize=500    | success |         200 |       5569 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.098541+09
 GET /itembypage?page=14&pageSize=500    | success |         200 |      12536 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.09933+09
 GET /itembypage?page=15&pageSize=500    | success |         200 |      16594 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.09995+09
 GET /itembypage?page=16&pageSize=500    | success |         200 |      21923 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.100476+09
 GET /itembypage?page=17&pageSize=500    | success |         200 |      24016 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.100975+09
 GET /itembypage?page=18&pageSize=500    | success |         200 |      17184 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.101479+09
 GET /itembypage?page=19&pageSize=500    | success |         200 |      14963 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.102099+09
 GET /itembypage?page=20&pageSize=500    | success |         200 |      19527 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.102599+09
 GET /itembypage?page=21&pageSize=500    | success |         200 |      25227 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.103095+09
 GET /itembypage?page=22&pageSize=500    | success |         200 |       8116 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.103598+09
 GET /itembypage?page=23&pageSize=500    | success |         200 |       9291 | {"statusCode": 200, "rowCount": 500, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.104146+09
 GET /itembypage?page=24&pageSize=500    | success |         200 |       1561 | {"statusCode": 200, "rowCount": 340, "envelope": "paged"}                                                           | 2026-09-20 03:45:04.104656+09
(30 rows)

