resource,resource_label,action,action_label,description
profiles,Profiles,read,View profiles,Can view participant profiles
profiles,Profiles,manage,Manage profiles,Can create / edit / import / transition profiles
project_types,Event Types,read,View event types,Can view event types
project_types,Event Types,manage,Manage event types,Can create / edit / delete event types
project_templates,Event Templates,read,View event templates,Can view event templates
project_templates,Event Templates,manage,Manage event templates,Can create / edit templates + eligibility flow + roles/segments
projects,Events,read,View events,Can view events
projects,Events,manage,Manage events,Can create / edit / transition events
participants,Participants,read,View participants,Can view a project's participants
participants,Participants,manage,Manage participants,Can register / import / transition participants
venues,Venues,read,View venues,Can view venues / zones / seat maps
venues,Venues,manage,Manage venues,Can create / edit venues + zones + generate seats
offerings,Offerings,read,View offerings,Can view an event's offerings + seat allocation
offerings,Offerings,manage,Manage offerings,Can create / edit offerings + mint capacity
tickets,Tickets,read,View tickets,Can view an event's tickets
tickets,Tickets,manage,Manage tickets,Can nominate / transfer / void / refund tickets
checkpoints,Checkpoints,read,View checkpoints,Can view event-day checkpoints + scan logs
checkpoints,Checkpoints,manage,Manage checkpoints,Can create checkpoints + scan tickets at the gate
personas,Personas,read,View personas,Can view profile personas + memberships + the portal-permission catalog
personas,Personas,manage,Manage personas,Can create / edit personas + grant portal keys + assign personas to profiles
